Día de compra,Fecha de compra,Hora de compra,Comprado por,Contacto,Membresía,Frecuencia,Días de prueba,Auto renovaciones,Renovaciones pagadas,Día de inicio del último ciclo,Fecha de inicio del último ciclo,Hora de inicio del último ciclo,Día de fin del último ciclo,Fecha de fin del último ciclo,Hora de fin del último ciclo,Estado,Cancelado por,Ganancia,Método de pago,Origen de pago,Origen,Nombre del origen
Friday,2022-09-05,09:51:51,Cliente 273,+529075636483,Básica,Anual,7,No,10,Sunday,2020-01-07,04:06:13,Wednesday,2023-01-16,01:46:35,Cancelado,Cliente 86,$582.63,PayPal,Tienda física,,Google Ads
Thursday,2023-11-22,10:27:47,Cliente 307,+529678920568,Premium,Semanal,14,Sí,10,Saturday,2021-04-14,20:35:31,Tuesday,2024-03-10,05:43:00,Activo,Cliente 183,$818.28,Transferencia bancaria,Tienda física,,
Sunday,2023-11-20,20:16:19,Cliente 191,+525298195203,VIP,Mensual,14,No,9,Friday,2024-08-03,12:51:51,Sunday,2020-04-06,01:48:49,Cancelado,,,Transferencia bancaria,Tienda física,Recomendación,Facebook
Monday,2022-07-08,21:07:30,Cliente 494,+521137969629,Premium,Anual,14,No,2,Thursday,2023-11-30,14:24:26,Wednesday,2024-03-01,04:22:21,Activo,Cliente 153,,Transferencia bancaria,Online,,Amigo
Sunday,2023-03-12,16:29:34,Cliente 139,+528534212123,Básica,Anual,14,No,4,Friday,2023-03-13,17:44:41,Friday,2023-08-11,11:56:54,Inactivo,Cliente 318,,PayPal,Tienda física,Recomendación,Amigo
Thursday,2022-03-25,07:57:21,Cliente 496,+523270716709,VIP,Semanal,30,No,8,Tuesday,2021-03-07,09:11:51,Thursday,2023-08-02,21:56:07,Cancelado,,$631.26,Transferencia bancaria,Online,,
Monday,2024-08-31,03:54:46,Cliente 397,+526167145306,Básica,Semanal,30,No,2,Wednesday,2023-04-11,13:24:09,Monday,2023-06-01,19:47:34,Inactivo,Cliente 435,$904.32,PayPal,Online,,
Thursday,2023-12-07,13:44:42,Cliente 29,+524605607433,VIP,Semanal,30,No,4,Saturday,2021-04-09,04:24:23,Monday,2020-12-14,21:59:46,Inactivo,Cliente 121,,PayPal,Tienda física,Campaña publicitaria,Facebook
Tuesday,2024-05-13,22:54:10,Cliente 366,+526255193085,Básica,Semanal,7,No,6,Thursday,2024-04-04,18:12:28,Tuesday,2023-03-16,15:10:43,Cancelado,Cliente 136,$639.29,Tarjeta de crédito,Online,Campaña publicitaria,Facebook
Monday,2023-08-22,14:56:19,Cliente 384,+525489336123,VIP,Anual,7,No,8,Wednesday,2023-06-18,03:38:10,Saturday,2022-03-21,19:06:50,Activo,Cliente 318,$707.70,Tarjeta de crédito,Online,Campaña publicitaria,
Wednesday,2024-03-11,06:13:07,Cliente 64,+522090735266,VIP,Semanal,14,Sí,8,Sunday,2024-03-09,14:12:50,Sunday,2024-07-14,02:49:22,Activo,Cliente 78,,Tarjeta de crédito,Online,Campaña publicitaria,Facebook
Monday,2022-09-19,22:56:10,Cliente 166,+522979122669,Básica,Mensual,14,Sí,5,Monday,2024-09-10,05:12:29,Tuesday,2022-09-01,22:13:28,Inactivo,Cliente 166,$432.37,PayPal,Tienda física,Campaña publicitaria,Google Ads
Wednesday,2020-05-30,10:07:16,Cliente 159,+526043670446,VIP,Mensual,14,Sí,10,Wednesday,2021-02-06,02:30:12,Monday,2020-06-07,09:05:11,Activo,Cliente 327,,Tarjeta de crédito,Tienda física,,
Saturday,2021-10-24,09:18:27,Cliente 40,+524950455442,Premium,Anual,7,Sí,6,Saturday,2020-04-10,22:11:56,Thursday,2021-01-05,04:17:13,Inactivo,Cliente 358,,PayPal,Online,Campaña publicitaria,
Thursday,2024-01-05,07:39:30,Cliente 21,+523597658004,Básica,Semanal,7,Sí,6,Friday,2023-07-26,10:56:38,Sunday,2022-04-25,04:53:55,Cancelado,,,Tarjeta de crédito,Tienda física,Recomendación,
Wednesday,2024-03-13,01:54:52,Cliente 464,+522970292480,VIP,Anual,30,Sí,0,Thursday,2023-02-01,09:54:26,Tuesday,2021-08-30,10:09:42,Activo,Cliente 426,$813.07,Tarjeta de crédito,Online,Campaña publicitaria,Google Ads
Thursday,2022-02-26,06:27:33,Cliente 323,+529766959379,Premium,Anual,7,No,1,Sunday,2022-06-03,22:19:41,Monday,2021-12-30,10:46:09,Activo,,$660.13,Transferencia bancaria,Tienda física,Recomendación,
Sunday,2024-06-21,21:56:49,Cliente 496,+529797085888,Básica,Mensual,7,No,10,Tuesday,2021-10-11,11:31:57,Monday,2022-09-07,20:27:29,Cancelado,,,Tarjeta de crédito,Online,Campaña publicitaria,
Sunday,2021-09-01,12:13:48,Cliente 139,+529393413829,Básica,Mensual,14,No,7,Monday,2020-05-31,03:51:47,Thursday,2020-05-05,23:36:51,Inactivo,,$646.01,PayPal,Tienda física,Recomendación,Google Ads
Thursday,2021-09-16,19:21:13,Cliente 422,+525142245614,VIP,Semanal,30,Sí,8,Monday,2023-09-01,08:56:44,Monday,2023-06-03,17:57:51,Cancelado,Cliente 84,$392.25,Tarjeta de crédito,Tienda física,Campaña publicitaria,
Saturday,2022-08-28,16:26:13,Cliente 272,+526146195433,Premium,Anual,14,Sí,0,Wednesday,2023-07-05,18:35:56,Saturday,2020-12-25,01:07:23,Inactivo,Cliente 320,,PayPal,Online,,Google Ads
Tuesday,2021-05-05,14:22:11,Cliente 229,+529899188142,Premium,Semanal,7,No,3,Monday,2022-06-23,03:11:11,Thursday,2023-09-12,02:10:07,Cancelado,,,Transferencia bancaria,Tienda física,,Amigo
Sunday,2023-01-17,05:39:36,Cliente 73,+526273756456,Básica,Mensual,7,Sí,2,Friday,2024-08-13,13:18:21,Sunday,2021-04-09,14:41:30,Activo,Cliente 383,$611.88,Tarjeta de crédito,Tienda física,Campaña publicitaria,Facebook
Thursday,2020-04-27,21:29:31,Cliente 65,+529216128507,VIP,Anual,30,No,3,Thursday,2021-07-30,13:40:28,Sunday,2022-09-29,21:43:10,Activo,Cliente 349,,Tarjeta de crédito,Tienda física,Recomendación,Facebook
Monday,2021-09-23,18:36:49,Cliente 280,+521113819684,Básica,Mensual,30,Sí,0,Thursday,2020-11-21,18:00:29,Wednesday,2023-01-23,10:54:58,Activo,Cliente 49,$872.88,Transferencia bancaria,Online,Recomendación,Amigo
Thursday,2023-07-14,04:44:32,Cliente 97,+527849635304,Básica,Mensual,14,Sí,1,Saturday,2020-05-20,20:53:27,Saturday,2020-03-25,11:55:07,Activo,,,Transferencia bancaria,Online,Campaña publicitaria,Google Ads
